"ID","Category","Name","Method","MethodArgument","RegistryPath","RegistryItem","ClassName","Namespace","Property","DefaultValue","RecommendedValue","Operator","Severity","UIX Impact","Use","Mode","Intro","Link for more infos","Tags","Consequences ","Advice","Notes","Comment","Possible values","OS"
"1000","Features","SMBv1 Support","WindowsOptionalFeature","smb1protocol","","","","","","Disabled","Disabled","=","High","0","1","Basic","In computer networking, Server Message Block (SMB), one version of which was also known as Common Internet File System (CIFS), is a communication protocol for providing shared access to files, printers, and serial ports between nodes on a network. It also provides an authenticated inter-process communication (IPC) mechanism.","https://docs.microsoft.com/en-us/windows-server/storage/file-server/troubleshoot/detect-enable-and-disable-smbv1-v2-v3","Network;Share;SMB","","We recommend keeping SMBv2 and SMBv3 enabled, but you might find it useful to disable one temporarily for troubleshooting. For more information, see How to detect status, enable, and disable SMB protocols on the SMB Server.","","","String : Enable;Disable;Not defined","Windows 10"
"1100","Account Policies","Account lockout threshold","accountpolicy","","","","","","","Never","10","<=","Low","1","1","Basic","The Account lockout threshold policy setting determines the number of failed sign-in attempts that will cause a user account to be locked. A locked account cannot be used until you reset it or until the number of minutes specified by the Account lockout duration policy setting expires. 
->You can set a value from 1 through 999 failed sign-in attempts, or you can specify that the account will never be locked by setting the value to 0. 
->If Account lockout threshold is set to a number greater than zero, Account lockout duration must be greater than or equal to the value of Reset account lockout counter after.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/account-lockout-threshold","Authentication;Sign-in;Attempts","Failed attempts to unlock a workstation can cause account lockout even if the Interactive logon: Require Domain Controller authentication to unlock workstation security option is disabled. Windows doesn’t need to contact a domain controller for an unlock if you enter the same password that you logged on with, but if you enter a different password, Windows has to contact a domain controller in case you had changed your password from another machine.","The threshold that you select is a balance between operational efficiency and security, and it depends on your organization's risk level. To allow for user error and to thwart brute force attacks, Windows security baselines recommend a value of 10 could be an acceptable starting point for your organization.","","","Number : 0-99 999 (Attempts)","Windows 10"
"1101","Account Policies","Account lockout duration","accountpolicy","","","","","","","30","15",">=","Low","1","1","Basic","The Account lockout duration policy setting determines the number of minutes that a locked-out account remains locked out before automatically becoming unlocked. The available range is from 1 through 99,999 minutes. A value of 0 specifies that the account will be locked out until an administrator explicitly unlocks it.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/account-lockout-duration","Authentication;Duration","Configuring the Account lockout duration policy setting to 0 so that accounts cannot be automatically unlocked can increase the number of requests that your organization's Help Desk receives to unlock accounts that were locked by mistake.","It is advisable to set Account lockout duration to approximately 15 minutes. To specify that the account will never be locked out, set the Account lockout threshold value to 0.","","","Number : 0 (Disable);1-99 999 (Minutes)","Windows 10"
"1102","Account Policies","Reset account lockout counter","accountpolicy","","","","","","","30","15",">=","Low","1","1","Basic","The Reset account lockout counter after policy setting determines the number of minutes that must elapse from the time a user fails to log on before the failed logon attempt counter is reset to 0.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/reset-account-lockout-counter-after","Authentication;Duration","The disadvantage of a high setting is that users lock themselves out for an inconveniently long period if they exceed the account lockout threshold through logon errors. Users may make excessive Help Desk calls.","Windows security baselines recommend configuring the Reset account lockout counter after policy setting to 15, but as with other account lockeout settings, this value is more of a guideline than a rule or best practice because there is no ""one size fits all.""","If Account lockout threshold is set to a number greater than zero, this reset time must be less than or equal to the value of Account lockout duration.","","Number : 0-99 999(Minutes)","Windows 10"
"1103","Account Policies","Store passwords using reversible encryption","secedit","System Access\ClearTextPassword","","","","","","0","0","=","High","0","1","Basic","The Store password using reversible encryption policy setting provides support for applications that use protocols that require the user's password for authentication. Storing encrypted passwords in a way that is reversible means that the encrypted passwords can be decrypted. 
A knowledgeable attacker who is able to break this encryption can then log on to network resources by using the compromised account. 
For this reason, never enable Store password using reversible encryption for all users in the domain unless application requirements outweigh the need to protect password information.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/store-passwords-using-reversible-encryption","Authentication","If your organization uses CHAP through remote access or IAS, or Digest Authentication in IIS, you must configure this policy setting to Enabled. This presents a security risk when you apply the setting through Group Policy on a user-by-user basis because it requires the appropriate user account object to be opened in Active Directory Users and Computers.","Set the value for Store password using reversible encryption to Disabled. If you use CHAP through remote access or IAS, or Digest Authentication in IIS, you must set this value to Enabled. This presents a security risk when you apply the setting by using Group Policy on a user-by-user basis because it requires opening the appropriate user account object in Active Directory Users and Computers.","Do not enable this policy setting unless business requirements outweigh the need to protect password information.","","Number : 1 (Enable);0 (Disable);Not defined","Windows 10"
"1200","User Rights Assignment","Access this computer from the network","accesschk","SeNetworkLogonRight","","","","","","BUILTIN\Backup Operators;BUILTIN\Users;BUILTIN\Administrators;Everyone","BUILTIN\Administrators","=","Medium","1","","","The Access this computer from the network policy setting determines <b>which users can connect to the device from the network</b>. This capability is required by a number of network protocols, including Server Message Block (SMB)-based protocols, NetBIOS, Common Internet File System (CIFS), and Component Object Model Plus (COM+).","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/access-this-computer-from-the-network","Network","->If you remove the Access this computer from the network user right on domain controllers for all users, <b>no one can log on to the domain or use network resources.</b> 
->If you remove this user right on member servers, users <b>cannot connect to those servers through the network.</b> 
->If you have installed optional components such as ASP.NET or Internet Information Services (IIS), you may need to assign this user right to additional accounts that are required by those components.  <b>It is important to verify that authorized users are assigned this user right for the devices that they need to access the network.</b>","This setting includes the <b>Everyone group</b> to ensure backward compatibility. Upon Windows upgrade, after you have verified that all users and groups are correctly migrated, <b>you should remove the Everyone group and use the Authenticated Users group instead.</b>","","","List : User-defined list of accounts","Windows 10"
"1201","User Rights Assignment","Allow log on locally","accesschk","SeInteractiveLogonRight","","","","","","BUILTIN\Backup Operators;BUILTIN\Users;BUILTIN\Administrators;COMPUTERNAME\Guest","BUILTIN\Users;BUILTIN\Administrators","=","Medium","1","","","This policy setting determines <b>which users can start an interactive session on the device.</b> Users must have this user right to log on over a Remote Desktop Services session that is running on a Windows-based member device or domain controller.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/allow-log-on-locally","","
->If you remove these default groups, <b>you could limit the abilities of users</b> who are assigned to specific administrative roles in your environment. 
->If you have installed optional components such as <b>ASP.NET</b> or <b>IIS</b>, you may need to assign the Allow log on locally user right to additional accounts that are required by those components.","->Restrict this user right to legitimate users who must log on to the console of the device.
->If you selectively remove default groups, you can limit the abilities of users who are assigned to specific administrative roles in your organization.","Users who do not have this right are still able to start a remote interactive session on the device if they have the Allow logon through Remote Desktop Services right.","","List : User-defined list of accounts","Windows 10"
"1202","User Rights Assignment","Debug programs","accesschk","SeDebugPrivilege","","","","","","BUILTIN\Administrators","","=","Medium","0","","","This policy setting determines <b>which users can attach to or open any process, even a process they do not own</b>. 
->Developers who are debugging their own applications do not need this user right. <b>
->Developers who are debugging new system components need this user right.</b> This user right provides access to sensitive and critical operating-system components.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/debug-programs","","
->If you revoke this user right, <b>no one can debug programs</b>. However, typical circumstances rarely require this capability on production devices. 
->If an issue arises that requires an application to be debugged on a production server, you can move the server to a different organizational unit (OU) temporarily and assign the Debug programs user right to a separate Group Policy for that OU.","Assign this user right <b>only to trusted users</b> to reduce security vulnerabilities.","","","List : User-defined list of accounts","Windows 10"
"1203","User Rights Assignment","Deny access to this computer from the network","accesschk","SeDenyNetworkLogonRight","","","","","","COMPUTERNAME\Guest","BUILTIN\Guests;NT AUTHORITY\Local account","=","Medium","1","0","","This security setting determines <b>which users are prevented from accessing a device over the network</b>.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/deny-access-to-this-computer-from-the-network","","If you configure the Deny access to this computer from the network user right for other accounts, you could limit the abilities of users who are assigned to specific administrative roles in your environment. 
You should verify that delegated tasks are not negatively affected.","Because all Active Directory Domain Services programs use a network logon for access, <b>use caution when you assign this user right on domain controllers.</b>","","","List : User-defined list of accounts","Windows 10"
"1204","User Rights Assignment","Deny log on as a batch job","accesschk","SeDenyBatchLogonRight","","","","","","","BUILTIN\Guests","=","Medium","1","","","This policy setting determines <b>which accounts are prevented from logging on</b> by using a batch-queue tool to <b>schedule and start jobs automatically in the future.</b> 
The ability to log on by using a batch-queue tool is needed for any account that is used to start scheduled jobs by means of the Task Scheduler.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/deny-log-on-as-a-batch-job","","If you assign the Deny log on as a batch job user right to other accounts, <b>you could deny the ability to perform required job activities to users who are assigned specific administrative roles.</b> 
 <b>Confirm that delegated tasks aren't affected adversely.</b>","->When you assign this user right, <b>thoroughly test that the effect is what you intended.</b>
->Within a domain, modify this setting on the applicable Group Policy Object (GPO).
->Deny log on as a batch job prevents administrators or operators from using their personal accounts to schedule tasks.
 <b>This restriction helps with business continuity when that person transitions to other positions or responsibilities.</b>","","","List : User-defined list of accounts","Windows 10"
